id,tema,regla,implementacion,anti_patron,keywords
tokens-css,tokens,"Los colores, tipografia y espaciado viven como custom properties en :root, con override para modo oscuro, y los componentes solo consumen tokens.",":root { --color-primary: #2563EB; --color-bg: #FFFFFF; --color-text: #0F172A; --space-4: 16px; } @media (prefers-color-scheme: dark) { :root { --color-bg: #0F172A; --color-text: #E2E8F0; } } y [data-theme=dark] con los mismos valores para el toggle manual. Los valores salen de MASTER.md.","Hex literal en componentes; dos fuentes de verdad (CSS y JS) para el mismo color.","tokens css custom properties variables root tema oscuro color"
tailwind-tema,tokens,"Con Tailwind, los tokens se declaran en la configuracion del tema y se usan por nombre semantico (bg-surface, text-primary), nunca con valores arbitrarios repetidos.","En tailwind.config: theme.extend.colors = { primary: 'var(--color-primary)', surface: 'var(--color-bg)' }; darkMode: 'class' o 'media'. Clases: bg-surface text-on-surface. Con la version basada en CSS, @theme { --color-primary: ... }.","bg-[#2563EB] repetido; mezclar clases de color arbitrarias con tokens.","tailwind tema config colores semantico arbitrario dark class"
tipografia-fluida,tokens,"La escala tipografica se define con clamp para crecer entre movil y desktop y con line-height por rol.","--text-body: clamp(1rem, 0.95rem + 0.25vw, 1.125rem); --text-h1: clamp(2rem, 1.5rem + 2vw, 3rem); body { font-size: var(--text-body); line-height: 1.5 } h1 { line-height: 1.15 }. Nunca por debajo de 1rem en cuerpo.","font-size en px fijos; cuerpo a 14px en movil.","tipografia fluida clamp escala rem line-height cuerpo titulo"
boton-icono-nombre,accesibilidad,"Un boton que solo muestra un icono lleva nombre accesible de accion y el SVG queda oculto al lector.","<button type=\"button\" aria-label=\"Eliminar nota\"><svg aria-hidden=\"true\" focusable=\"false\">...</svg></button>. Si el icono acompana texto visible, el svg va aria-hidden y no hace falta aria-label.","<button><svg/></button> sin etiqueta; aria-label=\"icono papelera\"; div con onClick como boton.","boton icono sin etiqueta accesible aria-label svg aria-hidden lector pantalla nombre"
foco-visible,accesibilidad,"El anillo de foco se dibuja con :focus-visible y contraste 3:1; nunca outline none sin reemplazo.",":focus-visible { outline: 2px solid var(--color-focus); outline-offset: 2px } y :focus:not(:focus-visible) { outline: none } para no mostrarlo en clic de raton.","*:focus { outline: none }; foco solo por cambio de color de fondo.","foco visible focus-visible outline anillo teclado contraste"
orden-dom,accesibilidad,"El orden del DOM coincide con el orden visual; no se usa order ni posicionamiento para reordenar contenido con sentido.","Grillas con grid-template-areas que respetan el orden de lectura; tabindex solo 0 o -1, nunca positivo; skip link al contenido principal como primer elemento enfocable.","order: -1 para mover el CTA; tabindex=\"3\".","orden dom tabulacion tabindex grid order skip link lectura"
regiones-vivas,accesibilidad,"Los cambios dinamicos se anuncian con live regions ya presentes en el DOM antes de cambiar su contenido.","<div role=\"status\" aria-live=\"polite\" class=\"sr-only\"> vacio desde el inicio; escribir el mensaje en su interior al cargar resultados o mostrar un toast; role=\"alert\" solo para errores bloqueantes.","Crear la live region en el momento del mensaje; alert para todo; mover el foco al toast.","live region aria-live status alert toast anuncio dinamico"
target-tactil,accesibilidad,"Los objetivos interactivos miden al menos 24x24px CSS (44 recomendado en movil) con separacion o padding que amplie el area sin cambiar el icono.","button { min-inline-size: 44px; min-block-size: 44px } en movil via media (pointer: coarse); enlaces en linea quedan exentos; separar acciones vecinas con gap: 8px.","Iconos de 16px clicables sin padding; acciones de fila pegadas.","target tactil 44px pointer coarse padding area toque gap"
imagenes-dimensiones,rendimiento,"Toda imagen declara width y height o aspect-ratio, carga diferida fuera del viewport y formato moderno con fallback.","<img src=\"x.avif\" width=\"800\" height=\"450\" loading=\"lazy\" decoding=\"async\" alt=\"...\"> dentro de <picture> con webp/jpg; la imagen del hero sin lazy y con fetchpriority=\"high\".","img sin dimensiones; lazy en la imagen principal; PNG de 2 MB.","imagen dimensiones aspect-ratio lazy loading avif webp cls hero"
animar-transform,rendimiento,"Solo se animan transform y opacity; nunca width, height, top, left ni box-shadow directamente.","transition: transform 200ms, opacity 200ms; will-change solo durante la animacion; sombras animadas con un pseudo-elemento cuya opacity cambia.","transition: all 300ms; animar height para desplegar (usar grid-template-rows 0fr a 1fr).","animar transform opacity rendimiento layout width height transition all"
