id,tema,regla,implementacion,anti_patron,keywords
tema-material,tokens,"Un solo MaterialTheme en la raiz define colorScheme, typography y shapes; los composables leen MaterialTheme.colorScheme y nunca colores literales.","AppTheme(darkTheme: Boolean = isSystemInDarkTheme(), dynamicColor: Boolean = false) { MaterialTheme(colorScheme = if (darkTheme) DarkColors else LightColors, typography = AppTypography, shapes = AppShapes, content = content) }. Definir LightColors y DarkColors con lightColorScheme y darkColorScheme a partir de los tokens de MASTER.md.","Color(0xFF2563EB) dentro de un composable; MaterialTheme anidados con valores distintos; dynamicColor activado sin validar contraste.","tema theme materialtheme colorscheme tokens raiz color literal dark"
tipografia-material,tokens,"Los estilos de texto se declaran una vez en Typography y se usan por rol (titleLarge, bodyMedium), nunca con fontSize suelto.","val AppTypography = Typography(titleLarge = TextStyle(fontFamily = Titulos, fontWeight = FontWeight.SemiBold, fontSize = 22.sp, lineHeight = 28.sp), bodyLarge = TextStyle(fontSize = 16.sp, lineHeight = 24.sp)); Text(text, style = MaterialTheme.typography.bodyLarge).","Text(fontSize = 14.sp) repartido por pantallas; tamanos en dp en vez de sp.","tipografia typography textstyle sp rol titlelarge bodymedium fuente"
espaciado-tokens,tokens,"La escala de espaciado vive en un objeto de tokens y se consume por nombre.","object Spacing { val xs = 4.dp; val sm = 8.dp; val md = 16.dp; val lg = 24.dp; val xl = 32.dp }; Modifier.padding(Spacing.md). Ajustar los valores a la escala de MASTER.md.","padding(13.dp) ad hoc; margenes distintos para el mismo caso en dos pantallas.","espaciado spacing padding tokens escala dp margen"
lazycolumn-keys,listas,"Listas largas usan LazyColumn con key estable por item y contentType cuando hay varios tipos; nunca Column con verticalScroll para cientos de filas.","LazyColumn { items(items, key = { it.id }, contentType = { it.type }) { row -> Fila(row, Modifier.animateItem()) } }. Con paginacion, collectAsLazyPagingItems.","Column(Modifier.verticalScroll()) con forEach sobre 500 elementos; items sin key, que rompe animaciones y estado al reordenar.","lista larga scroll rendimiento lazycolumn key items paginacion recomposicion"
estado-elevado,estado,"El estado vive en el ViewModel como un unico UiState inmutable; los composables reciben estado y lambdas, no el ViewModel.","data class UiState(val items: List<Item> = emptyList(), val loading: Boolean = false, val error: String? = null); val state by viewModel.state.collectAsStateWithLifecycle(); Pantalla(state, onRetry = viewModel::retry).","Pasar el ViewModel a cada composable; mutableStateOf disperso sin fuente unica; leer Flow con collectAsState sin lifecycle.","estado state hoisting viewmodel uistate inmutable lambda lifecycle"
semantica-accesible,accesibilidad,"Cada control lleva contentDescription de accion o se marca decorativo; los grupos se fusionan con mergeDescendants; los estados se exponen con stateDescription y role.","IconButton(onClick) { Icon(Icons.Default.Delete, contentDescription = \"Eliminar nota\") }; Image(painter, contentDescription = null) para decorativas; Modifier.semantics(mergeDescendants = true) en filas; Modifier.semantics { role = Role.Switch; stateDescription = if (on) \"Activado\" else \"Desactivado\" }.","contentDescription = \"icono\"; filas donde TalkBack lee cinco elementos sueltos; Switch personalizado sin role.","accesibilidad talkback contentdescription semantics mergedescendants role state lector"
area-toque,accesibilidad,"Los controles pequenos alcanzan 48dp con Modifier.minimumInteractiveComponentSize o padding, sin cambiar el tamano visual.","IconButton ya garantiza 48dp; para composables propios: Modifier.minimumInteractiveComponentSize() o Modifier.sizeIn(minWidth = 48.dp, minHeight = 48.dp). Separar objetivos vecinos con Spacing.sm.","Icon(Modifier.size(20.dp).clickable {}) sin area ampliada.","area toque 48dp minimuminteractivecomponentsize target tactil clickable icono"
foco-teclado,accesibilidad,"La navegacion por teclado, D-pad y switch access sigue el orden visual y muestra foco; los composables clicables usan clickable o Button, no pointerInput crudo.","Modifier.focusable() y Modifier.onFocusChanged para dibujar el anillo con MaterialTheme.colorScheme.primary; Modifier.focusProperties { next = ... } solo cuando el orden visual difiere del arbol.","pointerInput { detectTapGestures } sin focusable ni semantics; orden de foco al azar en grillas.","foco teclado dpad focusable orden focusproperties tv switch access"
escala-fuente,accesibilidad,"Todo texto usa sp y los contenedores no fijan altura; probar con fontScale 2.0 en preview.","@Preview(fontScale = 2f); alturas con Modifier.heightIn(min = 56.dp) en vez de height(56.dp); Text con maxLines y overflow solo en texto no esencial.","height(48.dp) en filas con texto; fontSize en dp; recorte de titulos con maxLines = 1 sin alternativa.","escala fuente fontscale sp altura fija recorte preview accesibilidad"
edge-to-edge,layout,"Con edge to edge activado, el contenido usa los insets del sistema para no quedar bajo barras ni teclado.","enableEdgeToEdge() en la Activity; Scaffold con contentWindowInsets; Modifier.imePadding() en formularios y Modifier.navigationBarsPadding() en CTA fijos; LazyColumn con contentPadding = WindowInsets.safeDrawing.asPaddingValues().","Padding fijo de 24dp abajo para esquivar la barra; campo de texto oculto tras el teclado.","edge to edge insets teclado ime navigationbars scaffold safe drawing barra"
tamano-ventana,layout,"El layout adapta columnas y navegacion segun WindowSizeClass: barra inferior en compact, rail en medium, drawer en expanded.","val sizeClass = calculateWindowSizeClass(activity); when (sizeClass.widthSizeClass) { Compact -> NavigationBar; Medium -> NavigationRail; Expanded -> PermanentNavigationDrawer }. Listas a detalle con ListDetailPaneScaffold en expanded.","Comprobar isTablet por pulgadas; un solo layout estirado en tablet plegable.","tamano ventana windowsizeclass tablet plegable adaptativo rail drawer columnas"
