id,categoria,prioridad,regla,criterio,wcag,anti_patron,keywords
a11y-contraste-texto,accesibilidad,critica,"El texto cumple contraste minimo respecto a su fondo real, incluyendo estados hover, disabled visible y texto sobre imagen.","Texto normal 4.5:1 y texto grande (24px o 19px bold) 3:1, medido sobre el fondo efectivo en modo claro y oscuro.",1.4.3 AA,"Gris claro sobre blanco como texto secundario; texto blanco sobre foto sin capa oscura.","contraste texto minimo color fondo legible gris ratio wcag oscuro claro"
a11y-contraste-ui,accesibilidad,critica,"Bordes de campos, iconos funcionales e indicadores de estado tienen 3:1 contra el fondo adyacente.","Borde de input, icono de accion y anillo de foco miden al menos 3:1 sobre el fondo.",1.4.11 AA,"Inputs con borde #E5E7EB sobre blanco; iconos grises claros.","contraste componente borde icono input foco no textual"
a11y-foco-visible,accesibilidad,critica,"Todo elemento interactivo muestra un indicador de foco visible al navegar con teclado o D-pad.","Anillo de 2px con 3:1 contra el fondo; nunca outline none sin reemplazo; visible en cada control.",2.4.7 AA; 2.4.11 AA,"outline: none global; foco solo por cambio sutil de color.","foco teclado visible anillo outline navegacion dpad tv"
a11y-nombre-accesible,accesibilidad,critica,"Cada control tiene un nombre accesible que describe la accion, no el icono.","Botones de icono con contentDescription o aria-label de accion (Eliminar nota, no Papelera); imagenes decorativas marcadas como tales.",4.1.2 A; 1.1.1 A,"Boton con solo icono y sin etiqueta; alt con el nombre del archivo.","nombre accesible etiqueta boton icono aria-label contentdescription lector pantalla alt"
a11y-orden-lectura,accesibilidad,critica,"El orden de tabulacion y de lectura del lector de pantalla sigue el orden visual.","Tab recorre la pantalla de arriba abajo e izquierda a derecha sin saltos; el DOM o el arbol de composicion coincide con el layout.",1.3.2 A; 2.4.3 A,"Reordenar con CSS order o Modifier.zIndex sin ajustar el arbol; grillas asimetricas con DOM en otro orden.","orden lectura tabulacion secuencia lector pantalla dom arbol foco"
a11y-color-no-unico,accesibilidad,critica,"El color nunca es el unico medio para transmitir informacion, estado o error.","Cada estado de color lleva icono, texto o patron; los graficos tienen etiquetas o texturas.",1.4.1 A,"Campo en rojo sin mensaje; puntos verde y rojo sin texto; grafico solo por leyenda de color.","color unico estado error icono texto daltonismo grafico leyenda"
a11y-zoom-texto,accesibilidad,alta,"La interfaz sigue siendo usable con texto al 200% y escala de fuente del sistema grande.","Sin recortes ni solapes con fontScale 2.0 en Android o zoom 200% en web; sin scroll horizontal a 320px de ancho.",1.4.4 AA; 1.4.10 AA,"Alturas fijas en contenedores de texto; tamanos en px que ignoran la escala del sistema; bloquear el zoom con user-scalable=no.","zoom escala fuente sistema 200 reflow recorte altura fija sp"
a11y-anuncios-dinamicos,accesibilidad,alta,"Los cambios dinamicos (errores, resultados cargados, mensajes nuevos) se anuncian sin mover el foco.","Live region polite para resultados y mensajes, assertive solo para errores bloqueantes; el foco no salta sin accion del usuario.",4.1.3 AA,"Toast visual sin anuncio; mover el foco al toast; anunciar cada tecla pulsada.","anuncio dinamico live region toast snackbar lector pantalla cambio contenido error"
a11y-tiempo-limite,accesibilidad,media,"Si hay limite de tiempo, el usuario puede extenderlo o desactivarlo.","Aviso antes de expirar con al menos 20 segundos para extender; sesiones que no pierden datos del formulario.",2.2.1 A,"Cerrar sesion sin aviso y descartar lo escrito.","tiempo limite sesion expirar aviso extender formulario"
touch-area-minima,interaccion,critica,"Cada objetivo tactil mide al menos el minimo de la plataforma y no se solapa con otros.","48x48dp en Android (24dp minimo WCAG), 44x44pt en iOS, 24x24px CSS minimo en web; separacion de 8dp entre objetivos vecinos.",2.5.8 AA; 2.5.5 AAA,"Iconos de 24dp sin area de toque ampliada; acciones de fila pegadas entre si.","target tactil 48dp 44pt area minima toque boton icono separacion dedo"
touch-feedback-inmediato,interaccion,alta,"Toda accion da respuesta visible en menos de 100 ms y muestra progreso si tarda mas de 1 segundo.","Ripple o cambio de estado al pulsar; indicador de progreso a partir de 1 s; boton deshabilitado durante el envio para evitar doble envio.",n/a,"Boton que no cambia al pulsar; spinner que aparece 3 segundos despues; permitir doble tap en Pagar.","feedback inmediato pulsar ripple progreso cargando doble envio boton estado"
touch-sin-hover-unico,interaccion,alta,"Ninguna funcion depende del hover: lo que aparece al pasar el cursor tambien se alcanza con toque y teclado.","Menus y acciones de fila visibles o alcanzables con tap y con foco; tooltips con equivalente en texto.",1.4.13 AA,"Acciones de fila que solo aparecen en hover; tooltip como unica ayuda.","hover toque teclado tooltip menu acciones fila movil descubrible"
touch-gestos-alternativa,interaccion,alta,"Cada gesto complejo (deslizar, pellizcar, arrastrar) tiene una alternativa de un toque.","Deslizar para borrar tiene menu contextual; arrastrar para reordenar tiene botones subir y bajar; pellizcar tiene botones de zoom.",2.5.1 A; 2.5.7 AA,"Swipe como unica forma de archivar; reordenar solo por drag.","gesto deslizar swipe arrastrar drag pellizcar zoom alternativa toque"
touch-cancelar-accion,interaccion,media,"Las acciones se disparan al soltar, no al presionar, y pueden cancelarse arrastrando fuera.","Un toque que sale del objetivo antes de soltar no ejecuta la accion.",2.5.2 A,"Ejecutar en onPress o pointerdown.","cancelar accion soltar presionar pointerup onclick"
layout-movil-primero,layout,alta,"El diseno parte del ancho mas estrecho soportado y anade columnas al crecer, sin scroll horizontal en ningun punto.","Sin scroll horizontal a 320px; breakpoints por contenido, no por dispositivo; contenedores con max-width en desktop.",1.4.10 AA,"Anchos fijos en px; tablas sin modo apilado o scroll interno controlado; disenar solo en 1440px.","responsive movil primero breakpoint scroll horizontal ancho columnas adaptable"
layout-zonas-seguras,layout,alta,"El contenido respeta las zonas seguras del dispositivo: notch, barra de gestos, teclado en pantalla.","Barra inferior y CTA fijo por encima del inset de navegacion; formularios que hacen scroll al campo activo cuando aparece el teclado.",n/a,"CTA fijo tapado por la barra de gestos; campo de texto oculto tras el teclado.","zona segura inset notch barra gestos teclado ime edge to edge"
layout-espacio-reservado,rendimiento,alta,"Imagenes, anuncios y contenido asincrono reservan su espacio antes de cargar.","Proporcion fija o placeholder del tamano final; CLS por debajo de 0.1; skeletons con las mismas dimensiones que el contenido.",n/a,"Imagenes sin dimensiones; listas que saltan al cargar; banner que empuja el contenido.","layout shift cls espacio reservado skeleton imagen cargar salto placeholder"
layout-ancho-lectura,layout,media,"Los bloques de texto limitan su medida para que la linea no supere 75 caracteres.","max-width de 65-75ch en parrafos; en tablets el texto no se estira al ancho completo.",n/a,"Parrafos a 1440px de ancho.","ancho lectura medida caracteres parrafo tablet linea larga"
tipo-base-legible,tipografia,alta,"El tamano base de cuerpo es 16px o mayor en movil y nunca inferior a 12px en ningun texto, con interlineado 1.5 para parrafos.","Cuerpo 16px/sp en movil; texto auxiliar minimo 12px; line-height 1.5 en parrafos y 1.2-1.3 en titulos.",1.4.12 AA,"Cuerpo a 13px para que quepa mas; leyendas a 10px; line-height 1.0.","tamano fuente base 16px legible interlineado cuerpo pequeno sp"
tipo-jerarquia-limitada,tipografia,media,"La escala tipografica tiene como maximo 5-6 tamanos y 2-3 pesos, aplicados siempre igual.","Cada nivel semantico (titulo, subtitulo, cuerpo, auxiliar) usa un solo estilo en toda la app.",n/a,"Tamanos ad hoc por pantalla; negrita para todo lo que importa.","jerarquia escala tipografica tamanos pesos consistente titulo subtitulo"
tipo-texto-resiliente,tipografia,alta,"Los textos sobreviven a contenido real: nombres largos, traducciones, cifras grandes, sin recortar informacion clave.","Truncado con elipsis solo en texto no esencial y con acceso al texto completo; chips y badges no rompen linea a mitad de palabra; titulos permiten 2 lineas.",n/a,"Altura fija con overflow oculto en titulos; badge que envuelve en dos lineas; numero recortado en tarjeta de saldo.","texto largo truncar elipsis overflow traduccion badge chip envolver recorte"
color-tokens-semanticos,color,alta,"Los componentes consumen tokens semanticos (primario, superficie, error) y nunca valores hexadecimales directos.","Ningun color literal en composables o componentes; cambiar de tema no exige tocar componentes.",n/a,"Color(0xFF2563EB) dentro de un boton; bg-[#2563EB] repetido en 30 archivos.","token semantico color hex literal tema theme variable superficie primario"
color-modo-oscuro,color,media,"El modo oscuro usa superficies por elevacion y baja la saturacion de los acentos, no invierte los colores.","Fondo #121212 o similar, superficies mas claras a mayor elevacion, texto #E6E6E6 en vez de blanco puro, acentos desaturados.",1.4.3 AA,"Invertir la paleta; blanco puro sobre negro puro; sombras negras en modo oscuro.","modo oscuro dark theme superficie elevacion saturacion invertir"
motion-con-proposito,motion,media,"Cada animacion comunica algo (de donde viene, a donde va, que cambio); las decorativas se eliminan.","Transiciones de entrada 150-250 ms, salida mas corta que entrada, elementos compartidos entre pantallas relacionadas.",n/a,"Misma duracion de 300 ms para todo; rebotes en cada boton; animar width y height en vez de transform.","animacion transicion proposito duracion easing entrada salida decorativa"
motion-reducida,motion,critica,"Con preferencia de movimiento reducido activa, las animaciones grandes se sustituyen por fundidos o se eliminan.","prefers-reduced-motion en web y escala de animacion 0 en Android respetadas; parallax y autoplay desactivados; el contenido sigue funcionando.",2.3.3 AAA; 2.2.2 A,"Ignorar la preferencia; carrusel automatico sin pausa; confeti obligatorio.","reduced motion movimiento reducido preferencia parallax autoplay pausar animacion"
motion-sin-parpadeo,motion,critica,"Nada parpadea mas de 3 veces por segundo.","Sin destellos rapidos en cargas, alertas o efectos.",2.3.1 A,"Icono de alerta parpadeando; flash blanco en transiciones.","parpadeo destello flash epilepsia frecuencia"
form-etiqueta-visible,formularios,critica,"Cada campo tiene etiqueta visible y asociada; el placeholder es solo ejemplo.","Label conectado al input (labelFor, for/id); la etiqueta no desaparece al escribir.",3.3.2 A; 1.3.1 A,"Placeholder como unica etiqueta; etiqueta que desaparece al enfocar.","etiqueta label placeholder campo formulario input visible asociada"
form-error-junto-campo,formularios,alta,"El error se muestra junto al campo, en texto, con como corregirlo, y se anuncia al lector de pantalla.","Mensaje bajo el campo con icono y texto especifico (Falta el arroba, no Invalido); el foco va al primer campo con error al enviar.",3.3.1 A; 3.3.3 AA,"Solo borde rojo; errores solo en un resumen arriba; mensaje generico.","error campo mensaje validacion junto especifico anunciar foco enviar"
form-tipo-teclado,formularios,media,"Cada campo declara su tipo para mostrar el teclado y el autocompletado correctos.","inputType o inputmode y autocomplete acordes: email, telefono, numero, contrasena; sin autocorreccion en usuarios y codigos.",1.3.5 AA,"Teclado alfanumerico completo para un codigo de 6 digitos; autocorrector en el campo de usuario.","teclado tipo campo email telefono numero autocompletar inputmode inputtype"
form-progresivo,formularios,media,"Pedir solo lo necesario ahora; lo opcional se revela despues o se marca como opcional.","Formularios de mas de 6 campos se dividen en pasos con progreso visible; campos opcionales etiquetados como tales.",n/a,"Veinte campos en una pantalla; asterisco en todo.","progresivo pasos opcional revelar campos largo wizard"
nav-atras-predecible,navegacion,alta,"Atras vuelve a donde estaba el usuario, con su estado, y nunca lo saca de la app sin avisar.","Pila de navegacion coherente; deep links construyen la pila hacia arriba; modales se cierran con atras antes de navegar.",n/a,"Atras que salta al inicio; deep link sin ruta de vuelta; modal que se salta con atras.","atras back navegacion pila deep link modal estado predecible"
nav-destinos-limitados,navegacion,media,"La navegacion principal tiene entre 3 y 5 destinos, con etiqueta e icono, y el actual esta marcado.","Barra inferior o rail con 3-5 items etiquetados; el destino activo tiene indicador visible y estado selected anunciado.",n/a,"Siete iconos sin texto; hamburguesa para 3 destinos.","navegacion barra inferior destinos tabs rail etiqueta activo menu"
nav-busqueda-persistente,navegacion,baja,"En apps de contenido la busqueda esta a un toque desde cualquier pantalla principal.","Icono o campo de busqueda en la barra superior de las pantallas principales; resultados con estado vacio util.",n/a,"Busqueda escondida en un menu.","busqueda buscar barra superior contenido resultados"
estado-vacio-util,estados,alta,"Cada lista o pantalla tiene estado vacio, de carga y de error disenados, con una accion para salir de el.","Vacio explica que va aqui y ofrece crear o importar; error dice que paso y ofrece reintentar; carga usa skeleton con espacio reservado.",n/a,"Pantalla en blanco; spinner infinito; error tecnico sin accion.","estado vacio carga error reintentar skeleton lista pantalla vacia"
estado-destructivo-confirmado,estados,alta,"Las acciones destructivas se confirman o se pueden deshacer, y el boton de confirmar nombra la accion.","Dialogo con Eliminar 3 notas en el boton, no Aceptar; o snackbar con Deshacer durante 5 segundos; nunca ambos.",3.3.4 AA,"Boton Aceptar / Cancelar; borrar sin deshacer ni confirmacion; confirmar y ademas deshacer.","destructivo eliminar borrar confirmar deshacer dialogo snackbar accion"
datos-tabla-legible,datos,media,"Las tablas alinean numeros a la derecha con cifras tabulares, tienen cabecera fija y se apilan o desplazan en movil.","Cabecera visible durante el scroll; numeros alineados; en menos de 600px cada fila se convierte en tarjeta o la tabla desplaza horizontalmente dentro de su contenedor.",1.3.1 A,"Tabla de 8 columnas encogida al ancho de un telefono.","tabla datos columnas numeros alineado cabecera movil apilar"
datos-grafico-accesible,datos,media,"Cada grafico tiene titulo, ejes con unidades, leyenda y una alternativa textual o tabular.","Texto alternativo con la conclusion (Ventas suben 12% en marzo); tabla de datos accesible; colores distinguibles sin depender del tono.",1.1.1 A; 1.4.1 A,"Grafico sin titulo ni unidades; leyenda solo por color.","grafico chart eje leyenda unidades alternativa tabla dashboard"
comp-eyebrows-limitados,composicion,alta,"Los eyebrows (etiqueta corta en mayusculas y tracking amplio sobre un titulo) se usan como maximo una vez cada tres secciones; el titulo se sostiene solo.","Contar instancias de uppercase + tracking sobre titulos en la pagina; si supera ceil(secciones / 3) se eliminan hasta cumplir. Si la seccion A lleva eyebrow, las dos siguientes no.",n/a,"Eyebrow encima de cada titulo de seccion: ritmo de plantilla reconocible al instante.","eyebrow etiqueta mayusculas tracking seccion titulo plantilla ritmo landing kicker"
