id,nombre,duracion_ms,easing,uso,reduced_motion,compose,web,keywords
reduced-motion,Preferencia de movimiento reducido,0,lineal,"Regla transversal: cuando el sistema pide movimiento reducido, las transiciones espaciales pasan a fundido y los efectos automaticos se apagan.","Es la propia regla: sustituir desplazamientos por fundidos de 100 ms, quitar parallax y autoplay.","Leer Settings.Global.ANIMATOR_DURATION_SCALE (0 = reducido) o LocalAccessibilityManager; envolver animaciones en un flag global.","@media (prefers-reduced-motion: reduce) { * { animation-duration: 0.01ms; transition-duration: 0.01ms; } } y comprobar matchMedia en JS antes de animar.","reduced motion movimiento reducido preferencia accesibilidad animacion apagar"
micro-feedback,Micro-feedback de control,100-150,ease-out,"Respuesta al pulsar botones, chips, switches: cambio de color, escala 0.97 o ripple.","Se mantiene: es corto y no desplaza contenido.","Indication por defecto (ripple) o animateFloatAsState sobre scale con tween(120).","transition: background-color 120ms ease-out, transform 120ms ease-out; transform: scale(0.97) en :active.","feedback boton pulsar ripple escala chip switch micro interaccion"
entrada-contenido,Entrada de contenido,200-250,ease-out (desacelerar),"Aparicion de listas, tarjetas y resultados: fundido y desplazamiento de 8-16 px desde abajo.","Solo fundido, sin desplazamiento.","AnimatedVisibility(enter = fadeIn(tween(200)) + slideInVertically { it / 8 }) o animateItem en LazyColumn.","@keyframes con opacity 0 a 1 y translateY(12px) a 0, 220ms cubic-bezier(0, 0, 0.2, 1).","entrada aparecer lista tarjeta fade slide contenido cargar resultados"
salida-contenido,Salida de contenido,120-180,ease-in (acelerar),"Desaparicion de elementos: mas rapida que la entrada para no retener la atencion.","Solo fundido.","AnimatedVisibility(exit = fadeOut(tween(150))).","opacity a 0 en 150ms cubic-bezier(0.4, 0, 1, 1).","salida desaparecer cerrar quitar fade eliminar"
transicion-pantalla,Transicion entre pantallas,250-350,estandar (ease-in-out suave),"Navegacion entre destinos: deslizamiento horizontal para jerarquia, fundido para destinos hermanos.","Fundido cruzado de 150 ms.","NavHost con enterTransition = slideInHorizontally + fadeIn y popExitTransition inverso; fadeIn/fadeOut entre tabs.","View Transitions API o transicion de opacidad y transform en el contenedor de ruta; nunca animar width o height.","transicion pantalla navegacion deslizar jerarquia tabs ruta"
elemento-compartido,Elemento compartido,300-400,estandar,"Continuidad entre lista y detalle: la imagen o tarjeta viaja a su nueva posicion.","Fundido cruzado sin desplazamiento.","SharedTransitionLayout con Modifier.sharedElement en ambos destinos.","view-transition-name identico en origen y destino.","compartido shared element lista detalle continuidad imagen tarjeta"
sheet-dialogo,Sheet y dialogo,200-300,desacelerar en entrada,"Bottom sheets y dialogos: entran desde abajo o con escala 0.95 a 1 y fondo oscurecido.","Fundido del contenido y del fondo, sin desplazamiento.","ModalBottomSheet y AlertDialog ya animan; no anadir animaciones encima.","dialog::backdrop con opacity; el panel con translateY(24px) a 0 en 240ms.","sheet dialogo modal bottom aparecer fondo scrim"
scroll-revelado,Revelado al hacer scroll,300-500,ease-out,"Secciones de landing que aparecen al entrar en pantalla: una vez, sin repetir.","Contenido visible desde el inicio, sin esperar al scroll.","Evitar en apps; en Compose usar animateItem en listas, no revelados por scroll.","IntersectionObserver anade una clase que dispara opacity y translateY; threshold 0.2; disparar una sola vez.","scroll revelar landing seccion aparecer intersection marketing"
esqueleto-carga,Esqueleto de carga,1200-1600 por ciclo,lineal,"Placeholder con brillo que recorre el contenido mientras carga, con las dimensiones finales.","Placeholder estatico sin brillo.","Modifier.background con Brush.linearGradient animado por rememberInfiniteTransition.","Gradiente animado con background-position en @keyframes; detener con reduced motion.","skeleton esqueleto carga placeholder brillo shimmer cargando"
progreso-determinado,Progreso determinado,segun proceso,lineal,"Barras de progreso que reflejan el avance real; el indeterminado solo si no se puede medir.","Se mantiene: informa, no decora.","LinearProgressIndicator(progress = { valor }) con animateFloatAsState para suavizar saltos.","progress con value y max; transicion de width con 200ms lineal.","progreso barra determinado indeterminado carga porcentaje subida"
celebracion,Celebracion de logro,600-900,ease-out con rebote leve,"Confirmacion de meta cumplida, pago completado, racha mantenida: una vez y breve.","Mensaje de exito con icono estatico; sin particulas.","Animacion Lottie o Canvas con particulas limitadas a 40; disparar una vez por evento.","Particulas en canvas o SVG con animacion de 800ms; nunca en bucle.","celebracion confeti logro exito racha meta pago completado"
