id,nombre,resumen,cuando_usar,cuando_evitar,efectos,riesgos_a11y,densidad,keywords
minimalismo-editorial,Minimalismo editorial,"Mucho aire, jerarquia tipografica fuerte, una sola accion principal por vista y color reservado para acentos.","Landing pages, portfolios, productos de contenido, onboarding y cualquier vista donde el mensaje importa mas que la cantidad de controles.","Dashboards con muchas metricas simultaneas o herramientas internas donde el usuario necesita ver mucho de un vistazo.","Sin sombras o con sombra minima; separadores por espacio, no por lineas; transiciones de opacidad cortas.","El gris claro sobre blanco baja del 4.5:1 con facilidad; comprobar cada texto secundario.",baja,"minimalista minimal limpio simple landing portfolio editorial aire espacio sencillo claro contenido lectura saas startup software moderno producto"
densidad-operativa,Densidad operativa,"Interfaz compacta para trabajo intensivo: tablas, filtros y paneles con escala de espaciado corta y tipografia de 13-14px en datos.","Dashboards internos, consolas de administracion, herramientas de soporte, paneles de analitica con muchos datos densos y usuarios expertos que la usan horas.","Productos de consumo, primeras impresiones, usuarios ocasionales o pantallas de movil con poco ancho.","Bordes finos y filas alternadas para escanear; estados hover claros; sin animaciones decorativas.","Texto de datos por debajo de 12px falla legibilidad; targets tactiles compactos no aplican en movil.",alta,"dashboard interno datos densos tabla panel consola admin analitica metricas operativo experto compacto grid"
material-expresivo,Material expresivo,"Sistema de superficies tonales, color dinamico y formas redondeadas grandes con componentes de Material 3.","Apps Android de consumo que quieren sentirse nativas y aprovechar tema dinamico, FAB, navigation bar y bottom sheets.","Productos multiplataforma que necesitan identidad propia identica en web e iOS, o marcas con lenguaje visual muy rigido.","Elevacion tonal en vez de sombra; ripple en toques; transiciones de contenedor compartido.","El color dinamico puede producir pares primario/on-primary con contraste insuficiente: fijar roles de color y validar.",media,"material android nativo compose tonal dinamico redondeado consumo movil fab bottom sheet expresivo"
tarjetas-modulares,Tarjetas modulares,"Contenido agrupado en tarjetas de tamano variable sobre una grilla, cada una autocontenida con su titulo y accion.","Paginas de inicio con secciones heterogeneas, feeds de widgets, paneles personales, catalogos de funciones.","Flujos lineales (checkout, formularios largos) donde las tarjetas fragmentan el orden de lectura.","Sombra suave o borde de 1px; radio de 12-16; hover eleva 2px; grilla responsive de 1 a 4 columnas.","Tarjetas completas clicables sin foco visible; el orden de tabulacion debe seguir el orden visual.",media,"tarjetas cards grilla modular bento widgets inicio home feed secciones panel personal"
oscuro-inmersivo,Oscuro inmersivo,"Modo oscuro como base: fondos casi negros, superficies por elevacion y acentos saturados para contenido visual.","Media, video, musica, juegos, fotografia y herramientas creativas donde el contenido debe destacar sobre la interfaz.","Lectura larga de texto, formularios extensos o entornos con mucha luz ambiental como unico modo.","Superficies mas claras cuanto mas elevadas; acentos brillantes solo en acciones; glow discreto en foco.","Texto blanco puro sobre negro puro cansa; usar #E6E6E6 sobre #121212 y validar acentos saturados sobre fondo oscuro.",media,"oscuro dark inmersivo media video musica fotografia creativo contenido visual juego"
comercio-conversion,Comercio orientado a conversion,"Jerarquia clara producto-precio-accion, mucha imagen, confianza visible (resenas, envio, devoluciones) y CTA persistente.","Tiendas, marketplaces, fichas de producto, checkout y cualquier flujo cuyo objetivo es completar una compra.","Herramientas internas o productos sin transaccion, donde el CTA persistente es ruido.","Imagenes con proporcion fija y skeleton; boton de compra fijo en movil; badges de estado sin animacion.","Precio tachado y descuento solo por color no basta: incluir texto; carruseles automaticos deben poder pausarse.",media,"ecommerce tienda comercio producto compra checkout carrito precio conversion marketplace catalogo venta"
formulario-guiado,Formulario guiado,"Un paso por pantalla o secciones cortas con progreso visible, validacion junto al campo y guardado de estado.","Alta de usuario, solicitudes, configuraciones largas, flujos regulatorios (banca, salud, seguros).","Formularios de 3-4 campos donde el paso a paso anade friccion innecesaria.","Barra de progreso; foco automatico en el primer campo del paso; transicion horizontal corta entre pasos.","Errores solo por color o solo arriba del formulario; placeholder como unica etiqueta.",media,"formulario wizard pasos registro alta solicitud onboarding progreso validacion campos paso"
lectura-larga,Lectura larga,"Ancho de medida de 60-75 caracteres, tipografia con contraste alto y jerarquia de encabezados navegable.","Documentacion, articulos, blogs, terminos legales, centros de ayuda.","Interfaces de accion rapida o paneles con datos.","Sin distracciones laterales; tabla de contenidos fija; resaltado suave en enlaces.","Justificado completo crea rios de espacio; interlineado menor a 1.5 dificulta la lectura.",baja,"lectura articulo blog documentacion docs ayuda texto largo legal contenido editorial"
brutalismo-controlado,Brutalismo controlado,"Bordes gruesos, tipografia grande y sin suavizar, colores planos y composicion asimetrica, pero con reglas fijas de contraste y foco.","Marcas que buscan diferenciarse, portfolios, eventos, productos para audiencias creativas o jovenes.","Productos de confianza (banca, salud), herramientas de uso prolongado o usuarios mayores.","Sombras duras sin desenfoque; hover invierte colores; sin radios.","La asimetria rompe el orden de lectura para lectores de pantalla si el DOM no sigue el orden visual.",baja,"brutalista brutalismo audaz asimetrico bold creativo evento marca joven diferente impacto"
vidrio-sutil,Vidrio sutil,"Superficies translucidas con desenfoque de fondo, usadas solo en capas flotantes (barras, sheets, dialogos).","Overlays sobre contenido rico (mapas, fotos, video) donde conviene mantener contexto visible.","Como estilo de toda la interfaz: el desenfoque cuesta rendimiento y el contraste depende del fondo.","Desenfoque de 16-24px; borde de 1px semitransparente; capa oscura extra cuando el fondo es claro.","El contraste del texto varia con lo que hay debajo; anadir capa solida bajo el texto o validar el peor caso.",media,"vidrio glass translucido desenfoque blur overlay flotante barra sheet mapa fotos"
neutral-sistema,Neutral de sistema,"Componentes estandar del sistema operativo o de la libreria base sin personalizacion visual fuerte.","Prototipos, herramientas internas con poco presupuesto de diseno, MVP que prioriza funcionar sobre lucir.","Productos de consumo que compiten por identidad visual.","Los que trae el sistema: ripple, sombras estandar, transiciones por defecto.","Bajo riesgo si se respetan los componentes; el riesgo aparece al mezclar componentes de distintas librerias.",media,"neutral sistema estandar defecto prototipo mvp interno rapido base libreria"
juego-gamificado,Gamificado,"Progreso visible, recompensas, color vivo y micro-animaciones de logro para sostener habitos.","Aprendizaje, fitness, finanzas personales con metas, productividad basada en rachas.","Contextos serios o sensibles (salud clinica, banca corporativa) donde el tono ludico resta credibilidad.","Confeti breve, barras de progreso con easing elastico, badges de logro.","Animaciones de celebracion deben respetar reduced motion; color de progreso acompanado de numero.",media,"gamificado juego racha logro progreso recompensa habito aprendizaje fitness metas ludico"
mapa-primero,Mapa primero,"El mapa o lienzo ocupa toda la pantalla y los controles flotan encima en bordes y sheets.","Navegacion, delivery, inmobiliaria, seguimiento de flotas, editores de lienzo.","Contenido principalmente textual o listas.","Sheet inferior arrastrable con tres alturas; controles flotantes con fondo solido; busqueda arriba.","Controles flotantes sobre mapa necesitan fondo opaco y borde; el mapa no es accesible por teclado sin lista alternativa.",media,"mapa geolocalizacion delivery ruta navegacion inmobiliaria lienzo canvas flotante sheet"
conversacional,Conversacional,"Interfaz de mensajes o asistente: burbujas, entrada fija abajo, estados de escribiendo y cargando.","Chats, soporte, asistentes de IA, comentarios en hilo.","Tareas estructuradas que un formulario resuelve en menos pasos.","Scroll anclado al final; burbujas nuevas con fade corto; indicador de escritura discreto.","Anunciar mensajes nuevos con live region polite; contraste de burbujas de ambos lados.",media,"chat conversacional mensajes asistente ia soporte burbujas hilo comentarios"
