id,dominio,mood,primario,secundario,acento,fondo_claro,fondo_oscuro,texto_claro,texto_oscuro,exito,aviso,error,notas_contraste,keywords
neutral-producto,Producto generico,Neutral y funcional,#2563EB,#475569,#F59E0B,#FFFFFF,#0F172A,#0F172A,#E2E8F0,#15803D,#B45309,#B91C1C,"Primario sobre blanco 5.2:1 valido para texto; sobre fondo oscuro usar #60A5FA para texto de enlace.","neutral generico producto saas app herramienta base defecto azul"
fintech-confianza,Fintech y banca,Confianza y precision,#1E3A8A,#334155,#0D9488,#F8FAFC,#0B1220,#0F172A,#E2E8F0,#15803D,#B45309,#B91C1C,"Azul marino sobre blanco 9.9:1; en oscuro el primario pasa a #93C5FD para texto y se mantiene #1E3A8A solo en superficies.","fintech banca finanzas confianza seguridad pagos wallet inversion cuenta dinero credito"
salud-calma,Salud y bienestar,Calma y claridad,#0F766E,#475569,#F97316,#F9FAFB,#111827,#111827,#E5E7EB,#15803D,#B45309,#B91C1C,"Verde azulado sobre blanco 5.2:1; el acento naranja solo en iconos o fondos, nunca como texto sobre blanco (2.7:1).","salud pacientes clinica medico bienestar cuidado calma hospital cita medicamento"
comercio-energia,Comercio y retail,Energia y urgencia controlada,#DC2626,#1F2937,#FBBF24,#FFFFFF,#111111,#111111,#E6E6E6,#15803D,#B45309,#B91C1C,"Rojo primario sobre blanco 4.8:1 valido para botones con texto blanco; amarillo de acento solo con texto oscuro encima.","ecommerce tienda retail comercio compra oferta descuento carrito venta producto"
educacion-amable,Educacion y aprendizaje,Amable y motivador,#7C3AED,#0F766E,#F59E0B,#FFFFFF,#141224,#1E1B4B,#E4E2F5,#15803D,#B45309,#B91C1C,"Violeta sobre blanco 5.7:1; en oscuro usar #C4B5FD para texto violeta.","educacion aprendizaje curso escuela estudiante lecciones motivador amable ninos"
productividad-foco,Productividad,Foco y sobriedad,#0F172A,#64748B,#2563EB,#FAFAFA,#0A0A0A,#0A0A0A,#E5E5E5,#15803D,#B45309,#B91C1C,"Casi monocromo; el unico color saturado es el acento azul para acciones primarias y foco.","productividad tareas notas foco calendario organizacion trabajo sobrio herramienta"
media-oscuro,Media y entretenimiento,Inmersivo,#E11D48,#3F3F46,#F59E0B,#FFFFFF,#0B0B0F,#18181B,#E4E4E7,#15803D,#B45309,#B91C1C,"Disenada para modo oscuro por defecto: fondo #0B0B0F con superficies #18181B y #27272A por elevacion.","media video musica streaming entretenimiento oscuro inmersivo pelicula podcast"
creativo-audaz,Creativo y marca,Audaz y contrastado,#000000,#FFFFFF,#FACC15,#FFFFFF,#000000,#000000,#FFFFFF,#15803D,#B45309,#B91C1C,"Blanco y negro puros con un acento amarillo; el amarillo nunca lleva texto blanco.","creativo marca audaz brutalista portfolio evento agencia diseno arte"
inmobiliaria-solida,Inmobiliaria y hogar,Solido y calido,#1F2937,#78716C,#B45309,#FAFAF9,#1C1917,#1C1917,#E7E5E4,#15803D,#B45309,#B91C1C,"Grises calidos; el acento ambar 4.8:1 sobre blanco es valido para texto grande y botones.","inmobiliaria hogar casa propiedad alquiler mapa calido solido construccion"
logistica-operativa,Logistica y flotas,Operativo y legible,#0369A1,#334155,#EA580C,#F8FAFC,#0F172A,#0F172A,#E2E8F0,#15803D,#B45309,#B91C1C,"Azul 5.9:1 sobre blanco; los estados de envio se distinguen por icono y texto ademas de color.","logistica flota envio delivery seguimiento ruta operativo transporte pedido almacen"
gobierno-accesible,Servicios publicos,Accesible y sobrio,#1D4ED8,#374151,#B91C1C,#FFFFFF,#111827,#111827,#F3F4F6,#15803D,#B45309,#B91C1C,"Primario 6.7:1 sobre blanco, acento 6.5:1 y texto 16:1; sin colores decorativos.","gobierno publico tramite ciudadano accesible sobrio institucional formulario oficial"
fitness-energia,Fitness y habitos,Energia y progreso,#16A34A,#1F2937,#F97316,#FFFFFF,#0A0F0A,#0A0F0A,#E5E7EB,#15803D,#B45309,#B91C1C,"Verde 3.3:1 sobre blanco: valido solo para texto grande o iconos; usar #15803D para texto normal.","fitness deporte habito racha progreso salud energia entrenamiento metas"
ia-asistente,Asistentes e IA,Tecnologico y sereno,#4F46E5,#475569,#06B6D4,#FFFFFF,#0B0F19,#111827,#E5E7EB,#15803D,#B45309,#B91C1C,"Indigo 6.3:1 sobre blanco; cian solo para iconos y fondos (2.4:1 como texto sobre blanco falla).","ia asistente chat inteligencia tecnologia futurista sereno modelo conversacional"
viajes-descubrimiento,Viajes y ocio,Descubrimiento y calidez,#0E7490,#44403C,#F59E0B,#FFFFFF,#0C1A1F,#0C1A1F,#E7E5E4,#15803D,#B45309,#B91C1C,"Cian oscuro 5.4:1 sobre blanco; fotografia manda, la interfaz cede color al contenido.","viajes turismo hotel vuelo ocio reserva descubrir explorar destino"
