id,titulos,cuerpo,mood,base_px,line_height,cuando_usar,notas,keywords
sistema-neutral,Fuente del sistema,Fuente del sistema,Neutral,16,1.5,"Apps que priorizan rendimiento y sensacion nativa; prototipos; herramientas internas.","En Android es Roboto via MaterialTheme.typography; en web usar la pila system-ui. Cero carga de fuentes, cero FOUT.","sistema nativo defecto neutral rapido rendimiento roboto system-ui base"
editorial-lectura,Serif de alto contraste,Serif humanista,Editorial,18,1.65,"Lectura larga: articulos, documentacion, blogs, contenido legal.","Medida de 60-75 caracteres; titulos con tracking negativo leve; evitar serif en tamanos menores a 14px en pantalla.","tipografia lectura larga articulo editorial serif documentacion blog texto"
geometrica-moderna,Sans geometrica,Sans humanista,Moderno,16,1.5,"Productos SaaS, landing pages, marcas tecnologicas.","La geometrica en titulos con peso 600-700; la humanista en cuerpo evita la monotonia de las formas circulares en parrafos.","moderno saas landing tecnologia geometrica sans limpio startup"
datos-tabular,Sans neutra,Sans con cifras tabulares,Operativo,14,1.45,"Dashboards, tablas, finanzas: cualquier columna de numeros alineados.","Activar cifras tabulares (font-variant-numeric: tabular-nums; en Compose FontFeatureSettings tnum); base 14px solo en desktop, 16px en movil.","datos tabla numeros cifras dashboard finanzas alineado tabular operativo monospace"
amable-redondeada,Sans redondeada,Sans redondeada,Amable,16,1.55,"Educacion, salud de consumo, apps para familias, gamificacion.","Pesos 500-700 para titulos; evitar en contextos corporativos donde parece infantil.","amable redondeada educacion familia salud ninos gamificado cercano calido"
confianza-clasica,Serif de transicion,Sans neutra,Confianza,16,1.5,"Banca, seguros, legal, instituciones: mezcla de solidez y claridad.","Serif solo en titulos grandes (24px+); el cuerpo en sans mantiene legibilidad en formularios y tablas.","confianza banca seguros legal institucional clasico solido fintech serio"
impacto-display,Display condensada,Sans neutra,Impacto,16,1.5,"Eventos, marcas creativas, portadas, hero sections.","La display solo en tamanos 40px+ y titulos cortos; nunca en parrafos ni botones.","impacto display condensada hero evento marca creativo grande portada brutalista"
monoespaciada-tecnica,Sans neutra,Monoespaciada en codigo,Tecnico,16,1.6,"Herramientas de desarrollo, documentacion tecnica, consolas, logs.","Monoespaciada solo para codigo, identificadores y logs; el cuerpo sigue en sans para no cansar.","tecnico codigo desarrollador consola logs monoespaciada terminal documentacion api"
compacta-movil,Sans neutra,Sans neutra,Compacto,16,1.4,"Apps moviles con mucha informacion por pantalla (mensajeria, listas, comercio).","Base nunca menor a 16px en movil aunque la interfaz sea densa; reducir line-height a 1.4 antes que el tamano.","compacto movil denso lista mensajeria comercio pantalla pequena android"
elegante-lujo,Serif fina,Sans ligera,Elegante,17,1.6,"Moda, joyeria, hoteleria, productos premium.","Pesos ligeros exigen contraste alto: texto #111 sobre blanco, nunca gris medio; tamanos generosos.","elegante lujo premium moda hotel joyeria fino ligero sofisticado"
